Country/Region,date,confirmed_so_far,rank,Continent
Afghanistan,01/23/20,0,9.0,Asia
Albania,01/23/20,0,10.0,Europe
Algeria,01/23/20,0,11.0,Africa
Andorra,01/23/20,0,12.0,Europe
Angola,01/23/20,0,13.0,Africa
Antigua and Barbuda,01/23/20,0,14.0,North America
Argentina,01/23/20,0,15.0,South America
Armenia,01/23/20,0,16.0,Europe
Australia,01/23/20,0,17.0,Oceania
Austria,01/23/20,0,18.0,Europe
Azerbaijan,01/23/20,0,19.0,Europe
Bahrain,01/23/20,0,20.0,Asia
Bangladesh,01/23/20,0,21.0,Asia
Barbados,01/23/20,0,22.0,North America
Belarus,01/23/20,0,23.0,Europe
Belgium,01/23/20,0,24.0,Europe
Belize,01/23/20,0,25.0,North America
Benin,01/23/20,0,26.0,Africa
Bhutan,01/23/20,0,27.0,Asia
Bolivia,01/23/20,0,28.0,South America
Bosnia and Herzegovina,01/23/20,0,29.0,Europe
Botswana,01/23/20,0,30.0,Africa
Brazil,01/23/20,0,31.0,South America
Brunei,01/23/20,0,32.0,Asia
Bulgaria,01/23/20,0,33.0,Europe
Burkina Faso,01/23/20,0,34.0,Africa
Burundi,01/23/20,0,35.0,Africa
Cabo Verde,01/23/20,0,36.0,Africa
Cambodia,01/23/20,0,37.0,Asia
Cameroon,01/23/20,0,38.0,Africa
Canada,01/23/20,0,39.0,North America
Central African Republic,01/23/20,0,40.0,Africa
Chad,01/23/20,0,41.0,Africa
Chile,01/23/20,0,42.0,South America
China,01/23/20,643,1.0,Asia
Colombia,01/23/20,0,43.0,South America
Comoros,01/23/20,0,44.0,Africa
Congo (Brazzaville),01/23/20,0,45.0,
Congo (Kinshasa),01/23/20,0,46.0,
Costa Rica,01/23/20,0,47.0,North America
Cote d'Ivoire,01/23/20,0,48.0,
Croatia,01/23/20,0,49.0,Europe
Cuba,01/23/20,0,50.0,North America
Cyprus,01/23/20,0,51.0,Europe
Czechia,01/23/20,0,52.0,
Denmark,01/23/20,0,53.0,Europe
Djibouti,01/23/20,0,54.0,Africa
Dominica,01/23/20,0,55.0,North America
Dominican Republic,01/23/20,0,56.0,North America
Ecuador,01/23/20,0,57.0,South America
Egypt,01/23/20,0,58.0,Africa
El Salvador,01/23/20,0,59.0,North America
Equatorial Guinea,01/23/20,0,60.0,Africa
Estonia,01/23/20,0,61.0,Europe
Eswatini,01/23/20,0,62.0,
Ethiopia,01/23/20,0,63.0,Africa
Fiji,01/23/20,0,64.0,Oceania
Finland,01/23/20,0,65.0,Europe
France,01/23/20,0,66.0,Europe
Gabon,01/23/20,0,67.0,Africa
Georgia,01/23/20,0,68.0,Europe
Germany,01/23/20,0,69.0,Europe
Ghana,01/23/20,0,70.0,Africa
Greece,01/23/20,0,71.0,Europe
Grenada,01/23/20,0,72.0,North America
Guatemala,01/23/20,0,73.0,North America
Guinea,01/23/20,0,74.0,Africa
Guinea-Bissau,01/23/20,0,75.0,Africa
Guyana,01/23/20,0,76.0,South America
Haiti,01/23/20,0,77.0,North America
Holy See,01/23/20,0,78.0,
Honduras,01/23/20,0,79.0,North America
Hungary,01/23/20,0,80.0,Europe
Iceland,01/23/20,0,81.0,Europe
India,01/23/20,0,82.0,Asia
Indonesia,01/23/20,0,83.0,Asia
Iran,01/23/20,0,84.0,Asia
Iraq,01/23/20,0,85.0,Asia
Ireland,01/23/20,0,86.0,Europe
Israel,01/23/20,0,87.0,Asia
Italy,01/23/20,0,88.0,Europe
Jamaica,01/23/20,0,89.0,North America
Japan,01/23/20,2,3.0,Asia
Jordan,01/23/20,0,90.0,Asia
Kazakhstan,01/23/20,0,91.0,Asia
Kenya,01/23/20,0,92.0,Africa
Kiribati,01/23/20,0,93.0,Oceania
"Korea, South",01/23/20,1,5.0,Asia
Kosovo,01/23/20,0,94.0,
Kuwait,01/23/20,0,95.0,Asia
Kyrgyzstan,01/23/20,0,96.0,Asia
Latvia,01/23/20,0,97.0,Europe
Lebanon,01/23/20,0,98.0,Asia
Lesotho,01/23/20,0,99.0,Africa
Liberia,01/23/20,0,100.0,Africa
Libya,01/23/20,0,101.0,Africa
Liechtenstein,01/23/20,0,102.0,Europe
Lithuania,01/23/20,0,103.0,Europe
Luxembourg,01/23/20,0,104.0,Europe
Madagascar,01/23/20,0,105.0,Africa
Malawi,01/23/20,0,106.0,Africa
Malaysia,01/23/20,0,107.0,Asia
Maldives,01/23/20,0,108.0,Asia
Mali,01/23/20,0,109.0,Africa
Malta,01/23/20,0,110.0,Europe
Marshall Islands,01/23/20,0,111.0,Oceania
Mauritania,01/23/20,0,112.0,Africa
Mauritius,01/23/20,0,113.0,Africa
Mexico,01/23/20,0,114.0,North America
Moldova,01/23/20,0,115.0,Europe
Monaco,01/23/20,0,116.0,Europe
Mongolia,01/23/20,0,117.0,Asia
Montenegro,01/23/20,0,118.0,Europe
Morocco,01/23/20,0,119.0,Africa
Mozambique,01/23/20,0,120.0,Africa
Namibia,01/23/20,0,121.0,Africa
Nepal,01/23/20,0,122.0,Asia
Netherlands,01/23/20,0,123.0,Europe
New Zealand,01/23/20,0,124.0,Oceania
Nicaragua,01/23/20,0,125.0,North America
Niger,01/23/20,0,126.0,Africa
Nigeria,01/23/20,0,127.0,Africa
North Macedonia,01/23/20,0,128.0,
Norway,01/23/20,0,129.0,Europe
Oman,01/23/20,0,130.0,Asia
Pakistan,01/23/20,0,131.0,Asia
Palau,01/23/20,0,132.0,Oceania
Panama,01/23/20,0,133.0,North America
Papua New Guinea,01/23/20,0,134.0,Oceania
Paraguay,01/23/20,0,135.0,South America
Peru,01/23/20,0,136.0,South America
Philippines,01/23/20,0,137.0,Asia
Poland,01/23/20,0,138.0,Europe
Portugal,01/23/20,0,139.0,Europe
Qatar,01/23/20,0,140.0,Asia
Romania,01/23/20,0,141.0,Europe
Russia,01/23/20,0,142.0,Asia
Rwanda,01/23/20,0,143.0,Africa
Saint Lucia,01/23/20,0,144.0,North America
Saint Vincent and the Grenadines,01/23/20,0,145.0,North America
Samoa,01/23/20,0,146.0,Oceania
San Marino,01/23/20,0,147.0,Europe
Sao Tome and Principe,01/23/20,0,148.0,Africa
Saudi Arabia,01/23/20,0,149.0,Asia
Senegal,01/23/20,0,150.0,Africa
Serbia,01/23/20,0,151.0,Europe
Seychelles,01/23/20,0,152.0,Africa
Sierra Leone,01/23/20,0,153.0,Africa
Singapore,01/23/20,1,6.0,Asia
Slovakia,01/23/20,0,154.0,Europe
Slovenia,01/23/20,0,155.0,Europe
Solomon Islands,01/23/20,0,156.0,Oceania
Somalia,01/23/20,0,157.0,Africa
South Africa,01/23/20,0,158.0,Africa
South Sudan,01/23/20,0,159.0,Africa
Spain,01/23/20,0,160.0,Europe
Sri Lanka,01/23/20,0,161.0,Asia
Sudan,01/23/20,0,162.0,Africa
Suriname,01/23/20,0,163.0,South America
Sweden,01/23/20,0,164.0,Europe
Switzerland,01/23/20,0,165.0,Europe
Taiwan*,01/23/20,1,7.0,
Tajikistan,01/23/20,0,166.0,Asia
Tanzania,01/23/20,0,167.0,Africa
Thailand,01/23/20,4,2.0,Asia
Timor-Leste,01/23/20,0,168.0,
Togo,01/23/20,0,169.0,Africa
Trinidad and Tobago,01/23/20,0,170.0,North America
Tunisia,01/23/20,0,171.0,Africa
Turkey,01/23/20,0,172.0,Asia
US,01/23/20,1,8.0,North America
Uganda,01/23/20,0,173.0,Africa
Ukraine,01/23/20,0,174.0,Europe
United Arab Emirates,01/23/20,0,175.0,Asia
United Kingdom,01/23/20,0,176.0,Europe
Uruguay,01/23/20,0,177.0,South America
Uzbekistan,01/23/20,0,178.0,Asia
Vanuatu,01/23/20,0,179.0,Oceania
Venezuela,01/23/20,0,180.0,South America
Vietnam,01/23/20,2,4.0,Asia
West Bank and Gaza,01/23/20,0,181.0,
Zambia,01/23/20,0,182.0,Africa
Zimbabwe,01/23/20,0,183.0,Africa
Afghanistan,01/24/20,0,10.0,Asia
Albania,01/24/20,0,11.0,Europe
Algeria,01/24/20,0,12.0,Africa
Andorra,01/24/20,0,13.0,Europe
Angola,01/24/20,0,14.0,Africa
Antigua and Barbuda,01/24/20,0,15.0,North America
Argentina,01/24/20,0,16.0,South America
Armenia,01/24/20,0,17.0,Europe
Australia,01/24/20,0,18.0,Oceania
Austria,01/24/20,0,19.0,Europe
Azerbaijan,01/24/20,0,20.0,Europe
Bahrain,01/24/20,0,21.0,Asia
Bangladesh,01/24/20,0,22.0,Asia
Barbados,01/24/20,0,23.0,North America
Belarus,01/24/20,0,24.0,Europe
Belgium,01/24/20,0,25.0,Europe
Belize,01/24/20,0,26.0,North America
Benin,01/24/20,0,27.0,Africa
Bhutan,01/24/20,0,28.0,Asia
Bolivia,01/24/20,0,29.0,South America
Bosnia and Herzegovina,01/24/20,0,30.0,Europe
Botswana,01/24/20,0,31.0,Africa
Brazil,01/24/20,0,32.0,South America
Brunei,01/24/20,0,33.0,Asia
Bulgaria,01/24/20,0,34.0,Europe
Burkina Faso,01/24/20,0,35.0,Africa
Burundi,01/24/20,0,36.0,Africa
Cabo Verde,01/24/20,0,37.0,Africa
Cambodia,01/24/20,0,38.0,Asia
Cameroon,01/24/20,0,39.0,Africa
Canada,01/24/20,0,40.0,North America
Central African Republic,01/24/20,0,41.0,Africa
Chad,01/24/20,0,42.0,Africa
Chile,01/24/20,0,43.0,South America
China,01/24/20,920,1.0,Asia
Colombia,01/24/20,0,44.0,South America
Comoros,01/24/20,0,45.0,Africa
Congo (Brazzaville),01/24/20,0,46.0,
Congo (Kinshasa),01/24/20,0,47.0,
Costa Rica,01/24/20,0,48.0,North America
Cote d'Ivoire,01/24/20,0,49.0,
Croatia,01/24/20,0,50.0,Europe
Cuba,01/24/20,0,51.0,North America
Cyprus,01/24/20,0,52.0,Europe
Czechia,01/24/20,0,53.0,
Denmark,01/24/20,0,54.0,Europe
Djibouti,01/24/20,0,55.0,Africa
Dominica,01/24/20,0,56.0,North America
Dominican Republic,01/24/20,0,57.0,North America
Ecuador,01/24/20,0,58.0,South America
Egypt,01/24/20,0,59.0,Africa
El Salvador,01/24/20,0,60.0,North America
Equatorial Guinea,01/24/20,0,61.0,Africa
Estonia,01/24/20,0,62.0,Europe
Eswatini,01/24/20,0,63.0,
Ethiopia,01/24/20,0,64.0,Africa
Fiji,01/24/20,0,65.0,Oceania
Finland,01/24/20,0,66.0,Europe
France,01/24/20,2,5.0,Europe
Gabon,01/24/20,0,67.0,Africa
Georgia,01/24/20,0,68.0,Europe
Germany,01/24/20,0,69.0,Europe
Ghana,01/24/20,0,70.0,Africa
Greece,01/24/20,0,71.0,Europe
Grenada,01/24/20,0,72.0,North America
Guatemala,01/24/20,0,73.0,North America
Guinea,01/24/20,0,74.0,Africa
Guinea-Bissau,01/24/20,0,75.0,Africa
Guyana,01/24/20,0,76.0,South America
Haiti,01/24/20,0,77.0,North America
Holy See,01/24/20,0,78.0,
Honduras,01/24/20,0,79.0,North America
Hungary,01/24/20,0,80.0,Europe
Iceland,01/24/20,0,81.0,Europe
India,01/24/20,0,82.0,Asia
Indonesia,01/24/20,0,83.0,Asia
Iran,01/24/20,0,84.0,Asia
Iraq,01/24/20,0,85.0,Asia
Ireland,01/24/20,0,86.0,Europe
Israel,01/24/20,0,87.0,Asia
Italy,01/24/20,0,88.0,Europe
